Date,Plot_Number,Rice_Cultivar,Experiment_Name,Bay_Length,Nitrogen_Rate,Replicate,Yield,Heading_25,Heading_50,Heading_100,Percent_Stand,Percent_Lodge,Final_Lodge,SPAD,Leaf1_Temp,Leaf2_Temp,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
6/14/2021,33761,IAC600,Tiara,"9' 9""""",75,1,6.002350469,,64,66,100.0,,0.0,,,,6.630696,-1.716171,3.0171454,3.4434721,3.2415006,3.8415878,6.99155,4.492011,7.5746703,2.9283183,140,206,-41
6/14/2021,33762,Tiara,Tiara,"16' 3""""",75,1,5.922051466,,66,71,99.0,,0.0,,,,8.985648,0.023500718,1.6302775,4.806932,2.8945827,3.0383463,5.9148765,2.8123755,8.250707,1.6153328,140,211,-46
6/14/2021,33763,Sierra,Tiara,"16' 3""""",75,1,8.331021553,76.0,78,83,100.0,,0.0,,,,8.388635,-0.421872,2.0663967,4.1120424,2.7430656,3.6939273,6.511368,3.8408625,7.919317,2.2466564,140,223,-58
6/14/2021,33764,Scarlett ,Tiara,"9' 9""""",75,1,10.56505453,74.0,76,79,100.0,,0.0,,,,8.0021,-0.55543107,2.2957134,4.0077033,2.892756,3.8739824,6.7385526,4.1029067,7.9620385,2.3053267,140,219,-54
6/14/2021,33765,Tiara,Tiara,"9' 9""""",75,1,6.693495458,,68,70,100.0,,0.0,,,,7.926933,-0.40542787,2.1002314,4.3154626,3.28149,3.2779372,6.7042522,3.5056741,8.109944,1.1998099,140,210,-45
6/14/2021,33766,IAC600,Tiara,"16' 3""""",75,1,5.385768839,,64,67,99.0,,0.0,,,,8.93707,0.49872324,1.7738351,4.7811885,3.08363,3.3055959,5.8218255,2.6124153,8.3688965,1.8360913,140,207,-42
6/14/2021,33767,Scarlett ,Tiara,"16' 3""""",75,1,11.17303269,74.0,76,79,100.0,,0.0,,,,6.9685683,-1.9240499,2.4900174,3.8738356,3.255016,3.5328481,7.004045,4.5347667,7.4280715,2.9192207,140,219,-54
6/14/2021,33768,Sierra,Tiara,"9' 9""""",75,1,9.526903133,78.0,81,84,99.0,,0.0,,,,8.5752325,-0.41045272,1.8268738,4.496603,3.2822576,3.3548627,6.494322,3.4281464,8.213166,1.3812575,140,224,-59
6/14/2021,33769,IAC600,Tiara,"9' 9""""",75,2,5.514820808,,64,66,100.0,,0.0,,,,6.436386,-1.903372,3.3899415,3.4867125,3.1893718,3.8935025,6.6838036,4.3188562,7.280704,3.2984765,140,206,-41
6/14/2021,33770,Sierra,Tiara,"16' 3""""",75,2,8.606332421,79.0,81,84,99.0,,0.0,,,,8.5023,-0.0050032083,1.8670326,4.71374,2.964369,3.2885442,6.067078,2.5382972,8.388385,1.8380462,140,224,-59
6/14/2021,33771,IAC600,Tiara,"16' 3""""",75,2,6.240379656,,63,65,100.0,,0.0,,,,6.3985324,-2.197388,3.1746428,3.558803,3.0879502,3.7280953,6.3625703,4.175542,7.3736873,3.7093902,140,205,-40
6/14/2021,33772,Scarlett ,Tiara,"9' 9""""",75,2,11.62041285,73.0,75,78,100.0,,0.0,,,,7.24377,-1.8149637,2.5737202,3.7717218,3.0294273,3.7963412,6.6611643,4.329484,7.5985236,3.0430124,140,218,-53
6/14/2021,33773,Tiara,Tiara,"9' 9""""",75,2,6.636139027,,68,70,100.0,,0.0,,,,6.631217,-1.9726064,2.9621103,3.642684,3.3660955,3.8307908,6.5588584,4.493419,7.592969,3.4961267,140,210,-45
6/14/2021,33774,Sierra,Tiara,"16' 3""""",75,2,8.356831947,78.0,80,84,100.0,,0.0,,,,8.422642,-0.06638743,1.7388161,4.3989716,2.9097946,3.3301857,6.3871665,2.8045552,8.180353,2.0413992,140,224,-59
6/14/2021,33775,Tiara,Tiara,"16' 3""""",75,2,6.294868265,,68,70,99.0,,0.0,,,,6.80136,-1.2846894,2.8387833,3.867033,3.1718526,3.2867992,7.104627,3.8391485,7.512848,2.6124392,140,210,-45
6/14/2021,33776,Scarlett ,Tiara,"9' 9""""",75,2,11.21318219,74.0,76,79,100.0,,0.0,,,,6.1814594,-2.4391432,3.2717583,3.5645723,3.301167,3.458662,6.4534245,4.513241,6.405053,3.4257755,140,219,-54
