Date,Plot_Number,Rice_Cultivar,Experiment_Name,Bay_Length,Nitrogen_Rate,Replicate,Yield,Heading_50,Heading_100,Percent_Stand,Final_Lodge,SPAD,Leaf1_Temp,Leaf2_Temp,Measurement_Stage,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
6/9/2022,31823,EMBRAPA 1200,Mini_Core,"29'3""""",130,1,5.203088607,87,90,,0,,,,,11.229541,-1.439645,-0.87257826,2.69433,3.6032712,3.6305878,5.43796,6.721604,9.868085,1.1994281,132,222,-62
6/9/2022,31825,M-202,Mini_Core,"16'3""""",130,1,7.284553476,79,82,,0,,,,,11.554675,-0.9299103,-0.44513816,2.9245849,3.6458244,4.0563645,6.052892,6.614177,10.054392,1.4068351,132,214,-54
6/9/2022,31828,WAB462-10-3-1,Mini_Core,"29'3""""",130,1,3.382021934,80,82,,0,,,,,11.438513,-1.1292145,-0.64663917,2.8380227,3.6027815,3.8630886,5.730395,6.636201,10.001455,1.247513,132,214,-54
6/9/2022,31829,Hybrid,Mini_Core,"29'3""""",130,1,18.47163849,83,86,,0,,,,,10.826358,-1.4380826,-0.6366627,2.780834,3.7001476,3.7609763,5.6886277,6.5336194,9.507681,1.3906571,132,218,-58
6/9/2022,31831,Jefferson,Mini_Core,"16'3""""",130,1,6.503932455,77,79,,0,,,,,11.210448,-0.9245841,-0.32241035,3.2477243,3.6422327,4.2590227,6.211884,6.3762927,9.473599,1.5340921,132,211,-51
6/9/2022,31832,EMBRAPA 1200,Mini_Core,"16'3""""",130,2,7.024155281,88,91,,0,,,,,11.173476,-1.2599128,-0.5647593,2.87825,3.5262887,3.7709439,5.6536803,6.531015,9.779288,1.2927277,132,223,-63
6/9/2022,31833,Hybrid,Mini_Core,"22'9""""",130,2,18.47163849,83,86,,0,,,,,10.816564,-1.6489222,-0.91899914,2.6324215,3.773307,3.6775594,5.52176,6.7000766,9.566162,1.3427278,132,218,-58
6/9/2022,31835,Jefferson,Mini_Core,"29'3""""",130,2,6.764043868,78,80,,0,,,,,11.273263,-1.3915815,-0.98893034,2.7185817,3.6994202,3.7256105,5.4837036,6.748974,9.866968,1.1711842,132,212,-52
6/9/2022,31839,M-202,Mini_Core,"22'9""""",130,2,1.950978989,79,81,,0,,,,,11.247426,-1.5531923,-1.1104778,2.504623,3.7915947,3.5917847,5.3280897,6.8707595,9.933754,1.1635443,132,213,-53
6/9/2022,31843,WAB462-10-3-1,Mini_Core,"16'3""""",130,2,3.382021934,80,82,,0,,,,,11.047595,-1.8340337,-1.395238,2.3071797,4.076584,3.5141828,5.1197224,7.135464,9.833311,1.2379822,132,214,-54
6/9/2022,31844,WAB462-10-3-1,Mini_Core,"16'3""""",130,3,3.121910521,80,82,,0,,,,,10.993665,-1.8011701,-1.2147672,2.4260726,3.8868034,3.48744,5.1377225,6.9865775,9.796248,1.2347515,132,214,-54
6/9/2022,31847,EMBRAPA 1200,Mini_Core,"29'3""""",130,3,5.46320002,88,91,,0,,,,,10.912792,-1.5552971,-0.72658706,2.7113419,3.5650625,3.601202,5.4282084,6.6126733,9.718345,1.2757697,132,223,-63
6/9/2022,31850,Hybrid,Mini_Core,"16'3""""",130,3,16.65028504,84,86,,0,,,,,11.043099,-1.9325334,-1.5535278,2.1332703,4.3040504,3.5707743,5.1504045,7.332776,9.906819,1.2779431,132,218,-58
6/9/2022,31852,Jefferson,Mini_Core,"29'3""""",130,3,5.983709629,78,80,,0,,,,,10.932699,-1.414563,-0.53135943,2.8217087,3.5733554,3.73058,5.6169224,6.5010443,9.660859,1.3303331,132,212,-52
6/9/2022,31854,M-202,Mini_Core,"22'9""""",130,3,8.064887715,79,81,,0,,,,,11.875678,-0.7005966,-0.6453035,2.5781045,4.306132,4.25065,6.501193,6.7168713,10.072971,1.4329058,132,213,-53
6/9/2022,31856,Jefferson,Mini_Core,"16'3""""",130,4,9.10562015,78,80,,0,,,,,10.644791,-1.3627846,-0.09817236,2.9494858,3.3720527,3.6784217,5.7232685,6.263552,9.5284395,1.4727675,132,212,-52
6/9/2022,31860,Hybrid,Mini_Core,"22'9""""",130,4,18.21066673,82,84,,0,,,,,10.908637,-1.769869,-1.4378623,2.411055,4.0911155,3.6336436,5.3590407,7.0372787,9.641744,1.2535697,132,216,-56
6/9/2022,31861,WAB462-10-3-1,Mini_Core,"16'3""""",130,4,4.162356173,78,81,,0,,,,,11.095963,-1.3355814,-1.1567802,2.777965,4.1156607,4.104375,5.8503366,6.8113356,9.525999,1.317302,132,213,-53
6/9/2022,31863,EMBRAPA 1200,Mini_Core,"22'9""""",130,4,6.243821042,88,91,,0,,,,,11.342739,-1.8287758,-1.4440684,2.1940398,4.0478635,3.4814742,4.9642224,7.293609,10.195045,1.1807289,132,223,-63
6/9/2022,31864,M-202,Mini_Core,"29'3""""",130,4,7.544664889,79,81,,0,,,,,11.543005,-1.3475522,-0.92596716,2.4650278,4.0695415,3.695601,5.513886,6.8126636,10.278959,1.4082909,132,213,-53
