,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
0,31770,RT7521FP,Hybrid_RT7521FP,130,2,13.87516154,86,06-09-2022,-4.0040984,1.1105614,1.4739882,-2.018401,-2.478454,3.9050736,-2.9899783,-3.0564394,2.3521323,3.153251,1.8707819,-3.364832,2.8883872,140,226,-66
1,31771,RT7521FP,Hybrid_RT7521FP,130,2,13.35494335,85,06-09-2022,-3.933038,1.0679526,1.4490148,-1.9728808,-2.4200776,3.8428001,-2.9505966,-2.9904578,2.3031223,3.1060207,1.8384807,-3.296496,2.83548,140,225,-65
2,31772,RT7521FP,Hybrid_RT7521FP,130,2,13.70175548,86,06-09-2022,-3.7833242,1.108102,1.2292954,-2.0267725,-2.4329407,3.821215,-2.9056787,-3.023091,2.3047297,2.803522,1.7330678,-3.1460643,2.7869508,140,226,-66
3,31773,RT7521FP,Hybrid_RT7521FP,130,2,14.22216485,86,06-09-2022,-3.5673623,0.9590489,1.1465893,-1.8676981,-2.242441,3.6165302,-2.7183,-2.7915483,2.1542084,2.7123737,1.6501844,-2.9582741,2.6220174,140,226,-66
4,31774,RT7521FP,Hybrid_RT7521FP,130,2,14.22216485,86,06-09-2022,-3.7359278,0.9414309,1.2991321,-1.839758,-2.2599113,3.706972,-2.7865496,-2.7819343,2.1889155,2.9821346,1.7293684,-3.1107273,2.6868253,140,226,-66
5,31775,RT7521FP,Hybrid_RT7521FP,130,2,13.87516154,86,06-09-2022,-3.969359,1.0955254,1.421423,-2.0060406,-2.4585252,3.907879,-2.9830692,-3.0338562,2.3403347,3.1048353,1.8365482,-3.3285334,2.864034,140,226,-66
6,31776,RT7521FP,Hybrid_RT7521FP,130,2,13.52834941,86,06-09-2022,-3.5745332,0.85768235,1.3134181,-1.7542957,-2.1457343,3.5084321,-2.673348,-2.6696768,2.0850673,2.891331,1.7063118,-2.9780967,2.587365,140,226,-66
7,31777,RT7521FP,Hybrid_RT7521FP,130,2,14.22216485,86,06-09-2022,-3.6881065,1.077802,1.2267102,-1.9903215,-2.3745234,3.7128787,-2.8460312,-2.9684923,2.247181,2.745353,1.7231848,-3.0771081,2.730643,140,226,-66
8,31778,RT7521FP,Hybrid_RT7521FP,130,2,13.70175548,87,06-09-2022,-3.4410088,1.0015638,1.0847415,-1.9236971,-2.258054,3.5161889,-2.6825275,-2.843543,2.1412973,2.4910386,1.621485,-2.8529575,2.593258,140,227,-67
9,31779,RT7521FP,Hybrid_RT7521FP,130,2,13.52834941,86,06-09-2022,-3.1134584,0.67336076,1.1659634,-1.5811899,-1.881362,3.0399504,-2.3226943,-2.392811,1.847825,2.5106852,1.5721915,-2.57521,2.3242927,140,226,-66
