,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
0,33761,IAC600,Tiara,75,1,6.002350469,66,06-14-2021,0.35172033,1.7227088,-6.025261,8.019424,5.589453,0.4174881,-6.3892426,0.54918545,0.4538574,3.276009,-0.5781831,0.3463781,6.148153,140,206,-41
1,33762,Tiara,Tiara,75,1,5.922051466,71,06-14-2021,0.37163663,1.8532842,-6.3009834,8.393805,5.8688993,0.3852659,-6.5141125,0.5476364,0.52815753,3.3440967,-0.49122608,0.35238856,6.3091664,140,211,-46
2,33763,Sierra,Tiara,75,1,8.331021553,83,06-14-2021,0.35369608,1.7313641,-5.9511905,7.9648876,5.5674624,0.41473353,-6.320156,0.5360665,0.4427948,3.285481,-0.5316777,0.34996128,6.098604,140,223,-58
3,33764,Scarlett,Tiara,75,1,10.56505453,79,06-14-2021,0.3516873,1.6751199,-5.8270435,7.810641,5.4804487,0.41437787,-6.2359776,0.5346837,0.42704096,3.2472067,-0.56298363,0.33697903,6.0196576,140,219,-54
4,33765,Tiara,Tiara,75,1,6.693495458,70,06-14-2021,0.16937503,1.8154305,-6.8795905,8.752199,5.815301,0.45325232,-7.138162,0.7752886,0.43317938,3.3394608,-0.7331906,0.2881614,6.707479,140,210,-45
5,33766,IAC600,Tiara,75,1,5.385768839,67,06-14-2021,0.27953604,2.0140371,-7.0990844,9.1701565,6.222944,0.40105504,-7.1483316,0.6863108,0.5658275,3.4455655,-0.55929214,0.34583876,6.8272376,140,207,-42
6,33767,Scarlett,Tiara,75,1,11.17303269,79,06-14-2021,0.38582098,1.6250416,-5.417566,7.3695087,5.265144,0.44513878,-5.913846,0.4590744,0.38125634,3.202006,-0.50130713,0.35356194,5.746349,140,219,-54
7,33768,Sierra,Tiara,75,1,9.526903133,84,06-14-2021,0.35877362,2.0491908,-6.914895,9.044895,6.2607884,0.39477432,-6.9480352,0.60331374,0.62480015,3.4437675,-0.49291682,0.36908147,6.703883,140,224,-59
8,33769,IAC600,Tiara,75,2,5.514820808,66,06-14-2021,0.22559446,1.8077359,-6.696056,8.60136,5.7827916,0.44455686,-6.945962,0.70997274,0.4566293,3.315805,-0.68594694,0.3102055,6.565324,140,206,-41
9,33770,Sierra,Tiara,75,2,8.606332421,84,06-14-2021,0.29901576,2.007283,-7.0277486,9.10362,6.1933284,0.39391467,-7.0772038,0.66641384,0.57701534,3.4291441,-0.5482045,0.34684294,6.770174,140,224,-59
10,33771,IAC600,Tiara,75,2,6.240379656,65,06-14-2021,0.3118305,1.7697123,-6.290372,8.277757,5.70886,0.4217556,-6.5983076,0.60178626,0.46498397,3.307501,-0.5950652,0.32788706,6.3166676,140,205,-40
11,33772,Scarlett,Tiara,75,2,11.62041285,78,06-14-2021,0.37431565,1.567399,-5.356195,7.3209734,5.227699,0.40655273,-5.8561826,0.46944362,0.3642024,3.183233,-0.49876946,0.3158172,5.6921563,140,218,-53
12,33773,Tiara,Tiara,75,2,6.636139027,70,06-14-2021,0.36460772,1.5937417,-5.5985074,7.54967,5.3006687,0.42685887,-6.090827,0.5049503,0.39424485,3.1988587,-0.5971272,0.33374608,5.8653746,140,210,-45
13,33774,Sierra,Tiara,75,2,8.356831947,84,06-14-2021,0.3182656,2.0388834,-7.0263567,9.126777,6.2587442,0.38782793,-7.0733504,0.64953595,0.6221418,3.4433284,-0.546021,0.3510417,6.7889295,140,224,-59
14,33775,Tiara,Tiara,75,2,6.294868265,70,06-14-2021,0.3065215,2.0047002,-7.0079045,9.077834,6.196031,0.39788717,-7.079301,0.66298556,0.5983387,3.4231665,-0.5776326,0.34314325,6.7717905,140,210,-45
15,33776,Scarlett,Tiara,75,2,11.21318219,79,06-14-2021,0.3522244,1.6365657,-5.711478,7.6650267,5.349782,0.4344837,-6.1578774,0.52057505,0.39490858,3.2069976,-0.57644427,0.35176578,5.9248395,140,219,-54
16,33777,Tiara,Tiara,75,3,6.613196455,70,06-14-2021,0.29863074,1.7636943,-6.2871137,8.230232,5.633141,0.44021466,-6.609881,0.6045576,0.43982765,3.288212,-0.614539,0.33841342,6.298164,140,210,-45
